experiment-name,condition,focal_seat,instance_id,seed,episode_id,deal,focal_normalized_surplus,opponent_normalized_surplus,normalized_welfare,syntax_errors,economic_errors,turns,episode_json,transcript_md,transcript_html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-119dfa1112,0,scorable_negotiation-moves_chat-5ab169b34d,1,1.0,0.268966,1.269,0,0,2,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-5ab169b34d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-5ab169b34d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-5ab169b34d.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-119dfa1112,0,scorable_negotiation-moves_chat-e03917b208,0,0.0,0.0,0.0,0,0,14,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-e03917b208.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-e03917b208.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-e03917b208.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-119dfa1112,1,scorable_negotiation-moves_chat-bc13de67ba,1,0.657143,0.448276,1.1054,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-bc13de67ba.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-bc13de67ba.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-bc13de67ba.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-119dfa1112,1,scorable_negotiation-moves_chat-6d264fd280,1,1.0,0.268966,1.269,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-6d264fd280.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-6d264fd280.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-6d264fd280.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-1f56d3e67c,0,scorable_negotiation-moves_chat-e140059647,1,0.029412,1.0,1.0294,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-e140059647.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e140059647.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e140059647.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-1f56d3e67c,0,scorable_negotiation-moves_chat-6b16b4ee3d,1,0.029412,1.0,1.0294,0,0,10,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-6b16b4ee3d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-6b16b4ee3d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-6b16b4ee3d.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-1f56d3e67c,1,scorable_negotiation-moves_chat-eb706f5a47,1,0.029412,1.0,1.0294,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-eb706f5a47.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-eb706f5a47.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-eb706f5a47.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-1f56d3e67c,1,scorable_negotiation-moves_chat-35227ec22c,1,0.029412,1.0,1.0294,0,0,12,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-35227ec22c.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-35227ec22c.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-35227ec22c.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-2b42ce4a5c,0,scorable_negotiation-moves_chat-9bd8883391,1,1.0,0.012195,1.0122,0,0,8,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-9bd8883391.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-9bd8883391.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-9bd8883391.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-2b42ce4a5c,0,scorable_negotiation-moves_chat-617e99181a,1,1.0,0.012195,1.0122,0,0,2,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-617e99181a.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-617e99181a.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-617e99181a.html
