experiment-name,focal_seat,instance_id,seed,surplus_difference,opponent_surplus_difference,deal_difference,welfare_difference,baseline_deal,guided_deal,baseline_focal_normalized_surplus,guided_focal_normalized_surplus,baseline_opponent_normalized_surplus,guided_opponent_normalized_surplus,baseline_normalized_welfare,guided_normalized_welfare,baseline_episode_id,guided_episode_id,baseline_episode_json,guided_episode_json,baseline_transcript_md,guided_transcript_md,baseline_transcript_html,guided_transcript_html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-119dfa1112,0,-1.0,-0.268966,-1,-1.269,1,0,1.0,0.0,0.268966,0.0,1.269,0.0,scorable_negotiation-moves_chat-5ab169b34d,scorable_negotiation-moves_chat-e03917b208,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-5ab169b34d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-e03917b208.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-5ab169b34d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-e03917b208.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-5ab169b34d.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-e03917b208.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-119dfa1112,1,0.34285699999999997,-0.17931000000000002,0,0.16359999999999997,1,1,0.657143,1.0,0.448276,0.268966,1.1054,1.269,scorable_negotiation-moves_chat-bc13de67ba,scorable_negotiation-moves_chat-6d264fd280,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-bc13de67ba.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-6d264fd280.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-bc13de67ba.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-6d264fd280.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-bc13de67ba.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-6d264fd280.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-1f56d3e67c,0,0.0,0.0,0,0.0,1,1,0.029412,0.029412,1.0,1.0,1.0294,1.0294,scorable_negotiation-moves_chat-e140059647,scorable_negotiation-moves_chat-6b16b4ee3d,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-e140059647.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-6b16b4ee3d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e140059647.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-6b16b4ee3d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e140059647.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-6b16b4ee3d.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-1f56d3e67c,1,0.0,0.0,0,0.0,1,1,0.029412,0.029412,1.0,1.0,1.0294,1.0294,scorable_negotiation-moves_chat-eb706f5a47,scorable_negotiation-moves_chat-35227ec22c,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-eb706f5a47.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-35227ec22c.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-eb706f5a47.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-35227ec22c.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-eb706f5a47.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-35227ec22c.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-2b42ce4a5c,0,0.0,0.0,0,0.0,1,1,1.0,1.0,0.012195,0.012195,1.0122,1.0122,scorable_negotiation-moves_chat-9bd8883391,scorable_negotiation-moves_chat-617e99181a,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-9bd8883391.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-617e99181a.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-9bd8883391.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-617e99181a.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-9bd8883391.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-617e99181a.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-2b42ce4a5c,1,0.0,0.0,0,0.0,1,1,1.0,1.0,0.012195,0.012195,1.0122,1.0122,scorable_negotiation-moves_chat-5db3e0445d,scorable_negotiation-moves_chat-4e7a7d9d37,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-5db3e0445d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-4e7a7d9d37.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-5db3e0445d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-4e7a7d9d37.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-5db3e0445d.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-4e7a7d9d37.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-2d5d5b106e,0,0.0,0.0,0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,1.0,scorable_negotiation-moves_chat-a5193ebca5,scorable_negotiation-moves_chat-f97d1df17f,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-a5193ebca5.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-f97d1df17f.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-a5193ebca5.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f97d1df17f.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-a5193ebca5.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f97d1df17f.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-2d5d5b106e,1,0.0,0.0,0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,1.0,scorable_negotiation-moves_chat-d9429c7a6a,scorable_negotiation-moves_chat-f9eb8fd404,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-d9429c7a6a.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-f9eb8fd404.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-d9429c7a6a.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f9eb8fd404.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-d9429c7a6a.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f9eb8fd404.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-2eb1acc6bf,0,1.0,0.0,1,1.0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,scorable_negotiation-moves_chat-ae3bf71f98,scorable_negotiation-moves_chat-f6f53d065b,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-ae3bf71f98.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-f6f53d065b.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-ae3bf71f98.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f6f53d065b.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-ae3bf71f98.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-f6f53d065b.html
advocate_v2_uncapped_baseline,0,scorable_negotiation-L0-2eb1acc6bf,1,1.0,0.0,1,1.0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,scorable_negotiation-moves_chat-e3b7623712,scorable_negotiation-moves_chat-fe6fd8a2e9,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-e3b7623712.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-fe6fd8a2e9.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e3b7623712.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-fe6fd8a2e9.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e3b7623712.html,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-fe6fd8a2e9.html
