cell_id,run_dir,arm,instance_id,episode_seed,episode_id,bank_position,family,channel,value_structure,n_items,horizon,scrambled,policy_seats,mean_efficiency,mean_suppression,revenue,stage_completion_rate,parse_ok_rate,api_silence_rate,clock_ceiling_rate,dm_volume,broadcasts,revenue_ratio,benchmark_revenue,onset_stage,onset_censored,ever_agreement,stages_completed,fallback_moves,api_silence,vintage
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,1,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",0.9891304347826086,0.0,687.0,1.0,1.0,0.0,0.0,0.0,80.0,1.0,687.0,,1.0,0.0,8,0,0,"{""api_turn_token_floor"": 16384, ""bank"": ""/juice2/u/siddharth/ii_mats/experiments/rational_agents/auction/banks/auction_single_v1"", ""bank_schema"": ""auction-bank-v1"", ""channel"": ""dm"", ""family"": null, ""horizon"": 8, ""model_thinking"": ""on"", ""models"": [""anthropic:claude-opus-4-8""], ""prompt_cache"": true, ""refusal_ladder"": [""nonce"", ""permute"", ""reframe""], ""scramble_cards"": false, ""turn_max_tokens"": 4096, ""value_structure"": ""apv""}"
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,19,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",0.9807134874624572,0.0,713.0,1.0,1.0,0.0,0.0,0.0,80.0,1.0,713.0,,1.0,0.0,8,0,0,"{""api_turn_token_floor"": 16384, ""bank"": ""/juice2/u/siddharth/ii_mats/experiments/rational_agents/auction/banks/auction_single_v1"", ""bank_schema"": ""auction-bank-v1"", ""channel"": ""dm"", ""family"": null, ""horizon"": 8, ""model_thinking"": ""on"", ""models"": [""anthropic:claude-opus-4-8""], ""prompt_cache"": true, ""refusal_ladder"": [""nonce"", ""permute"", ""reframe""], ""scramble_cards"": false, ""turn_max_tokens"": 4096, ""value_structure"": ""apv""}"
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,11,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",0.9823113207547169,0.0,688.0,1.0,1.0,0.0,0.0,0.0,80.0,1.0,688.0,,1.0,0.0,8,0,0,"{""api_turn_token_floor"": 16384, ""bank"": ""/juice2/u/siddharth/ii_mats/experiments/rational_agents/auction/banks/auction_single_v1"", ""bank_schema"": ""auction-bank-v1"", ""channel"": ""dm"", ""family"": null, ""horizon"": 8, ""model_thinking"": ""on"", ""models"": [""anthropic:claude-opus-4-8""], ""prompt_cache"": true, ""refusal_ladder"": [""nonce"", ""permute"", ""reframe""], ""scramble_cards"": false, ""turn_max_tokens"": 4096, ""value_structure"": ""apv""}"
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84007,0,auction-all_oracle-17f0d834f5,7,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",0.9520805218173639,0.0,627.0,1.0,1.0,0.0,0.0,0.0,80.0,1.0,627.0,,1.0,0.0,8,0,0,"{""api_turn_token_floor"": 16384, ""bank"": ""/juice2/u/siddharth/ii_mats/experiments/rational_agents/auction/banks/auction_single_v1"", ""bank_schema"": ""auction-bank-v1"", ""channel"": ""dm"", ""family"": null, ""horizon"": 8, ""model_thinking"": ""on"", ""models"": [""anthropic:claude-opus-4-8""], ""prompt_cache"": true, ""refusal_ladder"": [""nonce"", ""permute"", ""reframe""], ""scramble_cards"": false, ""turn_max_tokens"": 4096, ""value_structure"": ""apv""}"
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84020,0,auction-all_oracle-20b731b813,20,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",0.9725274725274725,0.0,610.0,1.0,1.0,0.0,0.0,0.0,80.0,1.0,610.0,,1.0,0.0,8,0,0,"{""api_turn_token_floor"": 16384, ""bank"": ""/juice2/u/siddharth/ii_mats/experiments/rational_agents/auction/banks/auction_single_v1"", ""bank_schema"": ""auction-bank-v1"", ""channel"": ""dm"", ""family"": null, ""horizon"": 8, ""model_thinking"": ""on"", ""models"": [""anthropic:claude-opus-4-8""], ""prompt_cache"": true, ""refusal_ladder"": [""nonce"", ""permute"", ""reframe""], ""scramble_cards"": false, ""turn_max_tokens"": 4096, ""value_structure"": ""apv""}"
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84021,0,auction-all_oracle-2735f3848f,21,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",0.9416615600893952,0.0,828.0,1.0,1.0,0.0,0.0,0.0,80.0,1.0,828.0,,1.0,0.0,8,0,0,"{""api_turn_token_floor"": 16384, ""bank"": ""/juice2/u/siddharth/ii_mats/experiments/rational_agents/auction/banks/auction_single_v1"", ""bank_schema"": ""auction-bank-v1"", ""channel"": ""dm"", ""family"": null, ""horizon"": 8, ""model_thinking"": ""on"", ""models"": [""anthropic:claude-opus-4-8""], ""prompt_cache"": true, ""refusal_ladder"": [""nonce"", ""permute"", ""reframe""], ""scramble_cards"": false, ""turn_max_tokens"": 4096, ""value_structure"": ""apv""}"
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84018,0,auction-all_oracle-39705edb76,18,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",0.9604244515026958,0.0,834.0,1.0,1.0,0.0,0.0,0.0,80.0,1.0,834.0,,1.0,0.0,8,0,0,"{""api_turn_token_floor"": 16384, ""bank"": ""/juice2/u/siddharth/ii_mats/experiments/rational_agents/auction/banks/auction_single_v1"", ""bank_schema"": ""auction-bank-v1"", ""channel"": ""dm"", ""family"": null, ""horizon"": 8, ""model_thinking"": ""on"", ""models"": [""anthropic:claude-opus-4-8""], ""prompt_cache"": true, ""refusal_ladder"": [""nonce"", ""permute"", ""reframe""], ""scramble_cards"": false, ""turn_max_tokens"": 4096, ""value_structure"": ""apv""}"
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84015,0,auction-all_oracle-399cf9c38a,15,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",0.9788707386363636,0.0,717.0,1.0,1.0,0.0,0.0,0.0,80.0,1.0,717.0,,1.0,0.0,8,0,0,"{""api_turn_token_floor"": 16384, ""bank"": ""/juice2/u/siddharth/ii_mats/experiments/rational_agents/auction/banks/auction_single_v1"", ""bank_schema"": ""auction-bank-v1"", ""channel"": ""dm"", ""family"": null, ""horizon"": 8, ""model_thinking"": ""on"", ""models"": [""anthropic:claude-opus-4-8""], ""prompt_cache"": true, ""refusal_ladder"": [""nonce"", ""permute"", ""reframe""], ""scramble_cards"": false, ""turn_max_tokens"": 4096, ""value_structure"": ""apv""}"
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84023,0,auction-all_oracle-3e2da41610,23,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",0.9866071428571428,0.0,843.0,1.0,1.0,0.0,0.0,0.0,80.0,1.0,843.0,,1.0,0.0,8,0,0,"{""api_turn_token_floor"": 16384, ""bank"": ""/juice2/u/siddharth/ii_mats/experiments/rational_agents/auction/banks/auction_single_v1"", ""bank_schema"": ""auction-bank-v1"", ""channel"": ""dm"", ""family"": null, ""horizon"": 8, ""model_thinking"": ""on"", ""models"": [""anthropic:claude-opus-4-8""], ""prompt_cache"": true, ""refusal_ladder"": [""nonce"", ""permute"", ""reframe""], ""scramble_cards"": false, ""turn_max_tokens"": 4096, ""value_structure"": ""apv""}"
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84017,0,auction-all_oracle-4abaafc208,17,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",1.0,0.0,1089.0,1.0,1.0,0.0,0.0,0.0,80.0,1.0,1089.0,,1.0,0.0,8,0,0,"{""api_turn_token_floor"": 16384, ""bank"": ""/juice2/u/siddharth/ii_mats/experiments/rational_agents/auction/banks/auction_single_v1"", ""bank_schema"": ""auction-bank-v1"", ""channel"": ""dm"", ""family"": null, ""horizon"": 8, ""model_thinking"": ""on"", ""models"": [""anthropic:claude-opus-4-8""], ""prompt_cache"": true, ""refusal_ladder"": [""nonce"", ""permute"", ""reframe""], ""scramble_cards"": false, ""turn_max_tokens"": 4096, ""value_structure"": ""apv""}"
