cell_id,arm,instance_id,episode_seed,episode_id,seat,card,is_llm_seat,channel,dm_sent,dm_received
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,0,sovereign_fund,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,1,regional_operator,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,2,ai_lab,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,3,hyperscaler,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,4,colocation_reseller,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,0,regional_operator,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,1,sovereign_fund,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,2,hyperscaler,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,3,colocation_reseller,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,4,ai_lab,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,0,ai_lab,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,1,regional_operator,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,2,colocation_reseller,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,3,sovereign_fund,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,4,hyperscaler,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84007,0,auction-all_oracle-17f0d834f5,0,ai_lab,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84007,0,auction-all_oracle-17f0d834f5,1,sovereign_fund,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84007,0,auction-all_oracle-17f0d834f5,2,regional_operator,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84007,0,auction-all_oracle-17f0d834f5,3,colocation_reseller,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84007,0,auction-all_oracle-17f0d834f5,4,hyperscaler,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84020,0,auction-all_oracle-20b731b813,0,colocation_reseller,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84020,0,auction-all_oracle-20b731b813,1,hyperscaler,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84020,0,auction-all_oracle-20b731b813,2,sovereign_fund,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84020,0,auction-all_oracle-20b731b813,3,regional_operator,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84020,0,auction-all_oracle-20b731b813,4,ai_lab,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84021,0,auction-all_oracle-2735f3848f,0,ai_lab,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84021,0,auction-all_oracle-2735f3848f,1,regional_operator,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84021,0,auction-all_oracle-2735f3848f,2,sovereign_fund,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84021,0,auction-all_oracle-2735f3848f,3,colocation_reseller,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84021,0,auction-all_oracle-2735f3848f,4,hyperscaler,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84018,0,auction-all_oracle-39705edb76,0,ai_lab,False,dm,0.0,0.0
R3,all_oracle,auction-1lot-84018,0,auction-all_oracle-39705edb76,1,sovereign_fund,False,dm,0.0,0.0
