logical_table,cell_id,min_accept,persona_id,instance_id,episode_seed,treated_seat,difficulty_scalar,difficulty_tags,normalized_primary,normalized_nash_welfare,deal_rate,dist_to_nbs,gini,cost_usd
all_llm,all_llm,5,,scorable_negotiation-L0-611ee402f7,4,,0.55854,easy,0.9013,0.515495742659004,1.0,0.4100914424251174,0.3276595744680851,1.2635399999999999
all_llm,all_llm,5,,scorable_negotiation-L0-65113008ad,4,,0.624796,medium,0.9817,0.5826707358115123,1.0,0.40449975030660673,0.36205533596837947,1.9913099999999997
all_llm,all_llm,5,,scorable_negotiation-L0-611ee402f7,3,,0.55854,easy,0.8874,0.5881461012378201,1.0,0.5426072941604801,0.19923954372623573,1.2003650000000001
all_llm,all_llm,5,,scorable_negotiation-L0-a483b0d80d,2,,0.546303,easy,0.9244,0.46659111489790084,1.0,0.7080818834056857,0.25504587155963304,1.029385
all_llm,all_llm,5,,scorable_negotiation-L0-65113008ad,2,,0.624796,medium,0.755,0.446102450308922,1.0,0.8898453416249925,0.3588235294117647,1.3717899999999998
all_llm,all_llm,5,,scorable_negotiation-L0-32200851b2,0,,0.562257,easy;high-conflict,0.9254,0.48259333271595234,1.0,0.5514512891620004,0.22833333333333333,1.58277
all_llm,all_llm,5,,scorable_negotiation-L0-34733a57e6,0,,0.561029,easy;large-frontier,0.7853,0.5032176115004844,1.0,0.44093905328630767,0.14486486486486486,1.02062
all_llm,all_llm,5,,scorable_negotiation-L0-a483b0d80d,0,,0.546303,easy,0.9987,0.42368425425403855,1.0,0.8496454618458733,0.3593220338983051,2.13887
all_llm,all_llm,5,,scorable_negotiation-L0-611ee402f7,1,,0.55854,easy,1.0,0.6246360293738825,1.0,0.0,0.26887417218543047,1.606065
all_llm,all_llm,5,,scorable_negotiation-L0-34733a57e6,1,,0.561029,easy;large-frontier,0.8189,0.49770797871675715,1.0,0.4992332615113796,0.3161904761904762,1.3895149999999998
all_llm,all_llm,5,,scorable_negotiation-L0-34733a57e6,4,,0.561029,easy;large-frontier,0.7734,0.512126497790296,1.0,0.35727727184346675,0.1425531914893617,1.889945
all_llm,all_llm,5,,scorable_negotiation-L0-32200851b2,4,,0.562257,easy;high-conflict,0.8383,0.4194483134851262,1.0,0.774097614688272,0.30042918454935624,1.6284049999999999
all_llm,all_llm,5,,scorable_negotiation-L0-a483b0d80d,3,,0.546303,easy,0.9649,0.563460996266188,1.0,0.3944308544465708,0.16779661016949152,0.8625900000000002
all_llm,all_llm,5,,scorable_negotiation-L0-a483b0d80d,1,,0.546303,easy,0.9987,0.42368425425403855,1.0,0.8496454618458733,0.3593220338983051,1.12551
all_llm,all_llm,5,,scorable_negotiation-L0-611ee402f7,2,,0.55854,easy,0.8677,0.4490191510322501,1.0,0.28793716376445494,0.3643122676579926,0.8944700000000001
all_llm,all_llm,5,,scorable_negotiation-L0-65113008ad,1,,0.624796,medium,0.755,0.446102450308922,1.0,0.8898453416249925,0.3588235294117647,1.9819599999999997
all_llm,all_llm,5,,scorable_negotiation-L0-32200851b2,2,,0.562257,easy;high-conflict,0.9254,0.48259333271595234,1.0,0.5514512891620004,0.22833333333333333,1.34133
all_llm,all_llm,5,,scorable_negotiation-L0-65113008ad,0,,0.624796,medium,0.8694,0.47189230644863134,1.0,0.5363933216324898,0.3355450236966825,1.5541899999999997
all_llm,all_llm,5,,scorable_negotiation-L0-32200851b2,3,,0.562257,easy;high-conflict,0.8413,0.4757935256860404,1.0,0.5749388392746179,0.17699115044247787,1.1979849999999996
all_llm,all_llm,5,,scorable_negotiation-L0-34733a57e6,2,,0.561029,easy;large-frontier,0.8189,0.49770797871675715,1.0,0.4992332615113796,0.3161904761904762,1.3994
all_llm,all_llm,5,,scorable_negotiation-L0-a483b0d80d,4,,0.546303,easy,0.9298,0.5526703341445296,1.0,0.3485492547714519,0.17872340425531916,1.626925
all_llm,all_llm,5,,scorable_negotiation-L0-65113008ad,3,,0.624796,medium,0.8395,0.5534810794052099,1.0,0.6210363423118869,0.3167420814479638,1.6098050000000004
all_llm,all_llm,5,,scorable_negotiation-L0-32200851b2,1,,0.562257,easy;high-conflict,0.8383,0.4194483134851262,1.0,0.774097614688272,0.30042918454935624,1.618595
all_llm,all_llm,5,,scorable_negotiation-L0-611ee402f7,0,,0.55854,easy,1.0,0.6246360293738825,1.0,0.0,0.26887417218543047,0.895435
all_llm,all_llm,5,,scorable_negotiation-L0-34733a57e6,3,,0.561029,easy;large-frontier,0.7853,0.5032176115004844,1.0,0.44093905328630767,0.14486486486486486,1.602275
