instance_id,difficulty_scalar,difficulty_tags,n_deals,n_ir_deals,feasible_all_ir,ir_margin
scorable_negotiation-L4-faf2ca7d47,0.694187,hard;no-clear-win-win;pivotal-seat;small-frontier,256,5,True,0.0
scorable_negotiation-L4-712ba36a4f,0.706191,hard;no-clear-win-win;pivotal-seat,256,4,True,0.0
scorable_negotiation-L3-9a673abad3,0.699699,hard;high-conflict;pivotal-seat,256,9,True,0.08620689655172414
scorable_negotiation-L3-9a1b1c0960,0.689368,hard;pivotal-seat,256,8,True,0.18421052631578946
scorable_negotiation-L2-103cef6017,0.638165,medium;small-frontier,256,15,True,0.2692307692307692
scorable_negotiation-L2-1fc37540c8,0.676476,high-conflict;large-frontier;medium;no-clear-win-win,256,17,True,0.3103448275862069
scorable_negotiation-L0-32200851b2,0.562257,easy;high-conflict,256,47,True,0.32926829268292684
scorable_negotiation-L1-996daa4124,0.61343,easy;large-frontier,256,22,True,0.3333333333333333
scorable_negotiation-L4-d49e5fe070,0.672467,medium;small-frontier,256,5,True,0.36
scorable_negotiation-L0-611ee402f7,0.55854,easy,256,43,True,0.417910447761194
scorable_negotiation-L2-df1e479b72,0.63001,medium;small-frontier,256,21,True,0.43103448275862066
scorable_negotiation-L3-a8641f6c33,0.651538,medium;small-frontier,256,8,True,0.43333333333333335
scorable_negotiation-L1-19dae4b672,0.62258,high-conflict;medium,256,27,True,0.4387755102040816
scorable_negotiation-L0-65113008ad,0.624796,medium,256,29,True,0.43902439024390244
scorable_negotiation-L0-34733a57e6,0.561029,easy;large-frontier,256,45,True,0.4523809523809524
scorable_negotiation-L2-adac68f4ac,0.642993,large-frontier;medium,256,17,True,0.4666666666666667
scorable_negotiation-L2-0aa50f7b83,0.679768,hard;high-conflict;large-frontier;no-clear-win-win,256,14,True,0.46875
scorable_negotiation-L0-a483b0d80d,0.546303,easy,256,40,True,0.4727272727272727
scorable_negotiation-L1-a9097927ce,0.551691,easy,256,37,True,0.4827586206896552
scorable_negotiation-L4-8a29217702,0.68927,hard;high-conflict;no-clear-win-win;small-frontier,256,4,True,0.49122807017543857
scorable_negotiation-L3-46e1252af7,0.684076,hard;pivotal-seat,256,8,True,0.49230769230769234
scorable_negotiation-L1-aabb4d986b,0.614162,easy,256,22,True,0.4959349593495935
scorable_negotiation-L1-282034699c,0.600081,easy;large-frontier,256,27,True,0.55
scorable_negotiation-L3-d9a0ef3c04,0.7161,hard;no-clear-win-win;pivotal-seat,256,5,True,0.651685393258427
