logical_table,instance_id,episode_seed,episode_id,deal_rate,closing_offer,n_supporters,quorum_close_rate,outvoted_seats,outvoted_below_threshold,outvoted_z,outvoted_dissented,any_below_threshold,treated_seat,treated_reject_share,treated_accept_share,treated_dissent_rate,treated_is_outvoted,treated_below_threshold
all_llm,scorable_negotiation-L1-a9097927ce,0,scorable_negotiation-moves_chat-01966fcbc1,1.0,P3,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L3-a8641f6c33,1,scorable_negotiation-moves_chat-0198e471de,1.0,P3,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L1-282034699c,2,scorable_negotiation-moves_chat-020d91310f,1.0,P6,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L1-a9097927ce,1,scorable_negotiation-moves_chat-030d7dbd99,1.0,P5,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L4-faf2ca7d47,3,scorable_negotiation-moves_chat-070e89ceed,1.0,P6,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L2-df1e479b72,0,scorable_negotiation-moves_chat-0bea3bd70e,1.0,P6,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L1-19dae4b672,4,scorable_negotiation-moves_chat-0dccb950b1,1.0,P7,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L0-611ee402f7,4,scorable_negotiation-moves_chat-13bbf5ed61,1.0,P6,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L2-1fc37540c8,2,scorable_negotiation-moves_chat-16d25615b6,1.0,P7,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L2-103cef6017,3,scorable_negotiation-moves_chat-170d24ad75,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L2-adac68f4ac,2,scorable_negotiation-moves_chat-1afbfd3d16,1.0,P9,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L4-712ba36a4f,3,scorable_negotiation-moves_chat-1b4c3be0d3,1.0,P5,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L1-996daa4124,2,scorable_negotiation-moves_chat-1c126400ef,1.0,P10,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L2-0aa50f7b83,3,scorable_negotiation-moves_chat-1d0ffc1ed6,1.0,P4,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L1-996daa4124,1,scorable_negotiation-moves_chat-20c5fff678,1.0,P6,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L4-712ba36a4f,1,scorable_negotiation-moves_chat-217921bca1,1.0,P8,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L0-65113008ad,4,scorable_negotiation-moves_chat-239f4d6b31,1.0,P8,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L0-611ee402f7,3,scorable_negotiation-moves_chat-246e9aaa39,1.0,P5,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_llm,scorable_negotiation-L2-df1e479b72,2,scorable_negotiation-moves_chat-24ffe65bcc,1.0,P4,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
