logical_table,instance_id,episode_seed,episode_id,deal_rate,closing_offer,n_supporters,quorum_close_rate,outvoted_seats,outvoted_below_threshold,outvoted_z,outvoted_dissented,any_below_threshold,treated_seat,treated_reject_share,treated_accept_share,treated_dissent_rate,treated_is_outvoted,treated_below_threshold
all_rational__unanimity_r4,scorable_negotiation-L0-86d39f433e,0,scorable_negotiation-moves_chat-1012cfdb67,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-db777d04d1,3,scorable_negotiation-moves_chat-268fe6083f,1.0,P12,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-033f0874d5,3,scorable_negotiation-moves_chat-280422628e,1.0,P12,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-5b80bb74c6,2,scorable_negotiation-moves_chat-33d2dd4366,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-033f0874d5,2,scorable_negotiation-moves_chat-3d7c58b367,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-5b80bb74c6,1,scorable_negotiation-moves_chat-4864622c73,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-db777d04d1,4,scorable_negotiation-moves_chat-4aa1f0c744,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-86d39f433e,2,scorable_negotiation-moves_chat-4e6500343e,1.0,P11,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-86d39f433e,3,scorable_negotiation-moves_chat-4e9e6f73f8,1.0,P15,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-033f0874d5,0,scorable_negotiation-moves_chat-4ea6113af4,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-86d39f433e,1,scorable_negotiation-moves_chat-68e36fcc99,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-5b80bb74c6,4,scorable_negotiation-moves_chat-774cd2c830,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-44925c2d5b,3,scorable_negotiation-moves_chat-7e566bf78a,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-86d39f433e,4,scorable_negotiation-moves_chat-80ef5fdb78,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-44925c2d5b,0,scorable_negotiation-moves_chat-8d0aa00d6c,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-5b80bb74c6,0,scorable_negotiation-moves_chat-8fdcfa8c9e,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-5b80bb74c6,3,scorable_negotiation-moves_chat-ae5931c52b,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-44925c2d5b,4,scorable_negotiation-moves_chat-b10773ba40,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-033f0874d5,4,scorable_negotiation-moves_chat-b34c32da5e,1.0,P14,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-db777d04d1,2,scorable_negotiation-moves_chat-bdcc0522cc,1.0,P14,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-db777d04d1,1,scorable_negotiation-moves_chat-c16df26fd9,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-db777d04d1,0,scorable_negotiation-moves_chat-dd02351609,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-44925c2d5b,2,scorable_negotiation-moves_chat-eee004c786,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-033f0874d5,1,scorable_negotiation-moves_chat-f1cc3f68bf,1.0,P13,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L0-44925c2d5b,1,scorable_negotiation-moves_chat-f4683f2dc3,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L1-6e5961e973,0,scorable_negotiation-moves_chat-074cd7db14,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L1-b3fd37949a,3,scorable_negotiation-moves_chat-16e4929d3e,1.0,P18,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L1-a9e4838c4c,1,scorable_negotiation-moves_chat-1799dfe77d,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L1-6f6151e1d5,4,scorable_negotiation-moves_chat-236f3b0ccc,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L1-a9e4838c4c,0,scorable_negotiation-moves_chat-255eb2ecbc,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L1-a9e4838c4c,3,scorable_negotiation-moves_chat-2e5667138b,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L1-b3fd37949a,4,scorable_negotiation-moves_chat-3583da8030,1.0,P18,5.0,0.0,,nan,nan,nan,0.0,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L1-6f6151e1d5,2,scorable_negotiation-moves_chat-3e2b6339f3,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L1-6f6151e1d5,3,scorable_negotiation-moves_chat-4304539e99,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L1-1381dc04db,1,scorable_negotiation-moves_chat-438e03b8bf,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
all_rational__unanimity_r4,scorable_negotiation-L1-a9e4838c4c,2,scorable_negotiation-moves_chat-458a09773a,0.0,,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan
