logical_table,instance_id,episode_seed,episode_id,deal_rate,closing_offer,n_supporters,quorum_close_rate,outvoted_seats,outvoted_below_threshold,outvoted_z,outvoted_dissented,any_below_threshold,treated_seat,treated_reject_share,treated_accept_share,treated_dissent_rate,treated_is_outvoted,treated_below_threshold
all_rational__majority_no_veto_r4,scorable_negotiation-L0-44925c2d5b,1,scorable_negotiation-moves_chat-1ec1680604,1.0,P11,3.0,1.0,Blake;Devon,1.0,-0.0613365,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-86d39f433e,3,scorable_negotiation-moves_chat-3379dceea9,1.0,P9,3.0,1.0,Avery;Ember,0.0,0.1779805,0.0,0.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-44925c2d5b,0,scorable_negotiation-moves_chat-40b8aa9e11,1.0,P2,3.0,1.0,Avery;Ember,0.5,-0.102748,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-db777d04d1,0,scorable_negotiation-moves_chat-414a289404,1.0,P2,3.0,1.0,Avery;Ember,0.5,-0.1,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-033f0874d5,1,scorable_negotiation-moves_chat-514d5f7877,1.0,P1,3.0,1.0,Avery;Ember,0.0,0.3701925,0.0,0.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-033f0874d5,0,scorable_negotiation-moves_chat-57a7e322fc,1.0,P1,3.0,1.0,Devon;Ember,0.5,-0.1964285,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-86d39f433e,4,scorable_negotiation-moves_chat-5a5add3564,1.0,P2,3.0,1.0,Avery;Ember,0.0,0.2524485,0.0,0.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-44925c2d5b,3,scorable_negotiation-moves_chat-5c0ae2738c,1.0,P1,3.0,1.0,Blake;Casey,0.5,0.3224045,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-033f0874d5,4,scorable_negotiation-moves_chat-82185d59a8,1.0,P4,3.0,1.0,Devon;Ember,0.5,-0.1964285,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-86d39f433e,1,scorable_negotiation-moves_chat-8b2d90c1dc,1.0,P1,3.0,1.0,Avery;Ember,0.5,-0.13762249999999998,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-033f0874d5,3,scorable_negotiation-moves_chat-958e67be06,1.0,P1,3.0,1.0,Blake;Casey,1.0,-0.1098115,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-44925c2d5b,4,scorable_negotiation-moves_chat-9617e119a1,1.0,P2,3.0,1.0,Avery;Ember,0.5,-0.102748,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-db777d04d1,2,scorable_negotiation-moves_chat-a076ad8964,1.0,P1,3.0,1.0,Avery;Blake,0.0,0.5210525,0.0,0.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-5b80bb74c6,2,scorable_negotiation-moves_chat-b9f0132ec5,1.0,P2,3.0,1.0,Casey;Devon,0.0,0.11513250000000001,0.0,0.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-033f0874d5,2,scorable_negotiation-moves_chat-ba529abc05,1.0,P6,3.0,1.0,Devon;Ember,0.5,-0.1964285,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-db777d04d1,1,scorable_negotiation-moves_chat-bfa1fcb7dd,1.0,P1,3.0,1.0,Avery;Ember,0.0,0.512317,0.0,0.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-5b80bb74c6,0,scorable_negotiation-moves_chat-c62b4d096c,1.0,P1,3.0,1.0,Devon;Ember,0.5,-0.06588200000000001,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-44925c2d5b,2,scorable_negotiation-moves_chat-c64bdc125f,1.0,P17,3.0,1.0,Casey;Ember,1.0,-0.140066,1.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-db777d04d1,3,scorable_negotiation-moves_chat-c91c2af924,1.0,P1,3.0,1.0,Blake;Casey,0.5,-0.05342849999999999,0.0,1.0,,nan,nan,nan,nan,nan
all_rational__majority_no_veto_r4,scorable_negotiation-L0-db777d04d1,4,scorable_negotiation-moves_chat-d8de16a5d9,1.0,P2,3.0,1.0,Avery;Ember,0.5,-0.1,0.0,1.0,,nan,nan,nan,nan,nan
