any_violation,cell_id,corrected_backers,deal,deal_lost_to_guard,deal_lost_to_guard_no_veto,episode_id,final_offer,instance_id,n_terminal_votes,n_violations,seed,veto_backs_corrected,violators,would_pass_corrected
0.0,all_rational__majority_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-2c25b1765a,P55,scorable_negotiation-L0-44925c2d5b,2.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_r16,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-a5911a2a3a,P50,scorable_negotiation-L0-5b80bb74c6,3.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_r16,4,0.0,0.0,0.0,scorable_negotiation-moves_chat-ed42014187,P58,scorable_negotiation-L0-44925c2d5b,4.0,0.0,1,0.0,,0.0
0.0,all_rational__majority_r16,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-0d059c1ec3,P65,scorable_negotiation-L1-6e5961e973,4.0,0.0,1,1.0,,1.0
0.0,all_rational__majority_r16,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-57f6e36c69,P49,scorable_negotiation-L1-6e5961e973,4.0,0.0,0,1.0,,0.0
0.0,all_rational__majority_r16,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-619cddf6c9,P71,scorable_negotiation-L1-6e5961e973,3.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_r16,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-6bf94e1b3c,P48,scorable_negotiation-L1-6f6151e1d5,4.0,0.0,1,1.0,,1.0
0.0,all_rational__majority_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-77a6e2d7db,P57,scorable_negotiation-L1-6f6151e1d5,2.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_r16,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-b9d5d98bb1,P49,scorable_negotiation-L1-6e5961e973,1.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-eddeb90d02,P51,scorable_negotiation-L1-6e5961e973,4.0,0.0,3,1.0,,1.0
0.0,all_rational__majority_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-0d0b776755,P65,scorable_negotiation-L2-cd5957683b,3.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-87c21648d9,P53,scorable_negotiation-L2-c07670b4c3,4.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-90cc93c9af,P52,scorable_negotiation-L2-107032bc27,4.0,0.0,1,1.0,,1.0
0.0,all_rational__majority_r16,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-b1a7d08ced,P49,scorable_negotiation-L2-107032bc27,3.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-ff3d726560,P50,scorable_negotiation-L2-107032bc27,2.0,0.0,3,1.0,,1.0
0.0,all_rational__majority_r16,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-281211c89b,P53,scorable_negotiation-L3-81f699e3fe,4.0,0.0,3,0.0,,0.0
0.0,all_rational__majority_r16,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-3c3cf0645e,P49,scorable_negotiation-L3-78a36182a2,4.0,0.0,0,1.0,,0.0
0.0,all_rational__majority_r16,5,1.0,0.0,0.0,scorable_negotiation-moves_chat-4c4f674f38,P40,scorable_negotiation-L3-8e55401ea3,4.0,0.0,1,1.0,,1.0
1.0,all_rational__majority_r16,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-4cc80ef1e3,P40,scorable_negotiation-L3-09d8108a8f,4.0,1.0,1,1.0,Blake,0.0
1.0,all_rational__majority_r16,3,0.0,0.0,1.0,scorable_negotiation-moves_chat-4e39f1f8b1,P63,scorable_negotiation-L3-78a36182a2,4.0,2.0,4,0.0,Casey;Devon,0.0
0.0,all_rational__majority_r16,4,0.0,0.0,0.0,scorable_negotiation-moves_chat-7b0851ba71,P36,scorable_negotiation-L3-78a36182a2,4.0,0.0,1,0.0,,0.0
0.0,all_rational__majority_r16,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-99b1485c27,P51,scorable_negotiation-L3-78a36182a2,4.0,0.0,3,1.0,,0.0
1.0,all_rational__majority_r16,4,0.0,0.0,1.0,scorable_negotiation-moves_chat-a3505d0088,P50,scorable_negotiation-L3-78a36182a2,4.0,1.0,2,0.0,Casey,0.0
0.0,all_rational__majority_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-fecd4b28c7,P46,scorable_negotiation-L3-8e55401ea3,3.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_r16,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-639bd4b8d9,P51,scorable_negotiation-L4-b9891ffb3e,4.0,0.0,0,1.0,,0.0
0.0,all_rational__majority_r16,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-8bb57a6be7,P37,scorable_negotiation-L4-b9891ffb3e,4.0,0.0,2,1.0,,0.0
0.0,all_rational__majority_r16,5,1.0,0.0,0.0,scorable_negotiation-moves_chat-a802769655,P36,scorable_negotiation-L4-b9891ffb3e,4.0,0.0,1,1.0,,1.0
0.0,all_rational__majority_r16,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-b05985b18f,P37,scorable_negotiation-L4-b9891ffb3e,2.0,0.0,3,1.0,,1.0
0.0,all_rational__majority_r16,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-cc95742644,P36,scorable_negotiation-L4-b9891ffb3e,1.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-d76facda7d,P58,scorable_negotiation-L4-05f715c1e6,4.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-fdd2d61b0b,P68,scorable_negotiation-L4-35d9e3e112,1.0,0.0,0,1.0,,1.0
1.0,all_rational__majority_r4,3,0.0,0.0,1.0,scorable_negotiation-moves_chat-705b44cd54,P12,scorable_negotiation-L0-5b80bb74c6,4.0,1.0,0,0.0,Devon,0.0
0.0,all_rational__majority_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-dbe9231c20,P16,scorable_negotiation-L0-44925c2d5b,4.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_r4,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-1198acb536,P11,scorable_negotiation-L1-6f6151e1d5,3.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-1642e08da5,P10,scorable_negotiation-L1-6f6151e1d5,4.0,0.0,3,1.0,,1.0
0.0,all_rational__majority_r4,5,1.0,0.0,0.0,scorable_negotiation-moves_chat-571341da7c,P14,scorable_negotiation-L1-6e5961e973,4.0,0.0,3,1.0,,1.0
0.0,all_rational__majority_r4,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-6aad1d4ee1,P13,scorable_negotiation-L1-6e5961e973,4.0,0.0,0,1.0,,0.0
0.0,all_rational__majority_r4,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-6de7fa25e4,P14,scorable_negotiation-L1-b3fd37949a,3.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_r4,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-72b7439119,P16,scorable_negotiation-L1-6e5961e973,4.0,0.0,2,1.0,,0.0
0.0,all_rational__majority_r4,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-74b9f8aa2d,P11,scorable_negotiation-L1-6e5961e973,3.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_r4,4,1.0,0.0,0.0,scorable_negotiation-moves_chat-7aad3d1113,P16,scorable_negotiation-L1-6e5961e973,1.0,0.0,1,1.0,,1.0
0.0,all_rational__majority_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-7cfa199a8d,P10,scorable_negotiation-L1-6f6151e1d5,1.0,0.0,1,1.0,,1.0
0.0,all_rational__majority_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-0ae2a6e53e,P18,scorable_negotiation-L2-cd5957683b,3.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-4c4443d246,P12,scorable_negotiation-L2-107032bc27,4.0,0.0,3,1.0,,1.0
0.0,all_rational__majority_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-52d82728af,P13,scorable_negotiation-L2-107032bc27,2.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-917dede020,P13,scorable_negotiation-L2-107032bc27,1.0,0.0,1,1.0,,1.0
