any_violation,cell_id,corrected_backers,deal,deal_lost_to_guard,deal_lost_to_guard_no_veto,episode_id,final_offer,instance_id,n_terminal_votes,n_violations,seed,veto_backs_corrected,violators,would_pass_corrected
0.0,all_rational__majority_no_veto_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-85d3026cc0,P68,scorable_negotiation-L0-44925c2d5b,3.0,0.0,1,1.0,,1.0
0.0,all_rational__majority_no_veto_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-87b7eedea7,P64,scorable_negotiation-L0-44925c2d5b,2.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_no_veto_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-ccc8b4c719,P70,scorable_negotiation-L1-6e5961e973,2.0,0.0,2,1.0,,1.0
1.0,all_rational__majority_no_veto_r16,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-86193c236f,P55,scorable_negotiation-L2-c07670b4c3,4.0,1.0,1,1.0,Blake,0.0
0.0,all_rational__majority_no_veto_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-95cab56ebc,P56,scorable_negotiation-L2-c07670b4c3,4.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_no_veto_r16,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-75894add87,P66,scorable_negotiation-L3-78a36182a2,4.0,0.0,3,1.0,,0.0
0.0,all_rational__majority_no_veto_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-b8fd940107,P65,scorable_negotiation-L3-78a36182a2,3.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_no_veto_r16,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-e7ee0e8a44,P52,scorable_negotiation-L3-81f699e3fe,4.0,0.0,3,1.0,,0.0
1.0,all_rational__majority_no_veto_r16,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-061dc1416f,P61,scorable_negotiation-L4-592a4f7b6d,4.0,1.0,4,1.0,Ember,0.0
0.0,all_rational__majority_no_veto_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-5c8db97458,P68,scorable_negotiation-L4-35d9e3e112,1.0,0.0,0,1.0,,1.0
0.0,all_rational__majority_no_veto_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-819c5775f2,P64,scorable_negotiation-L4-592a4f7b6d,2.0,0.0,0,1.0,,1.0
0.0,all_rational__majority_no_veto_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-ca725d1be6,P74,scorable_negotiation-L4-35d9e3e112,3.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_no_veto_r16,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-cf0f931024,P62,scorable_negotiation-L4-592a4f7b6d,2.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_no_veto_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-c64bdc125f,P17,scorable_negotiation-L0-44925c2d5b,4.0,0.0,2,1.0,,1.0
0.0,all_rational__majority_no_veto_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-a83170e685,P14,scorable_negotiation-L1-1381dc04db,4.0,0.0,3,1.0,,1.0
0.0,all_rational__majority_no_veto_r4,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-3d7dc4b09f,P15,scorable_negotiation-L2-c07670b4c3,4.0,0.0,2,1.0,,0.0
0.0,all_rational__majority_no_veto_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-5d48b54f7f,P17,scorable_negotiation-L2-cd5957683b,3.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_no_veto_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-61328b3b5c,P14,scorable_negotiation-L2-c07670b4c3,4.0,0.0,1,1.0,,1.0
0.0,all_rational__majority_no_veto_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-faea32383d,P18,scorable_negotiation-L2-cd5957683b,3.0,0.0,0,1.0,,1.0
0.0,all_rational__majority_no_veto_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-55f1dc0906,P16,scorable_negotiation-L3-78a36182a2,1.0,0.0,3,1.0,,1.0
0.0,all_rational__majority_no_veto_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-623a7cbadd,P16,scorable_negotiation-L3-78a36182a2,2.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_no_veto_r4,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-7dd2483678,P12,scorable_negotiation-L3-81f699e3fe,4.0,0.0,0,1.0,,0.0
0.0,all_rational__majority_no_veto_r4,2,0.0,0.0,0.0,scorable_negotiation-moves_chat-3b65ec0b54,P15,scorable_negotiation-L4-592a4f7b6d,4.0,0.0,0,1.0,,0.0
0.0,all_rational__majority_no_veto_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-a8afdd4b7f,P15,scorable_negotiation-L4-592a4f7b6d,2.0,0.0,4,1.0,,1.0
0.0,all_rational__majority_no_veto_r4,3,1.0,0.0,0.0,scorable_negotiation-moves_chat-e6c22c3418,P16,scorable_negotiation-L4-35d9e3e112,2.0,0.0,2,1.0,,1.0
