episode_id,instance_id,seed,deal_rate,normalized_primary,raw_primary,normalized_nash_welfare,usw,esw,nsw,nsw_geomean,gini,dist_to_frontier,dist_to_nbs,dist_to_ks,on_frontier,all_ir,n_ir_violations,n_ir_violation_turns,n_walked,welfare_slope,closing_round,rounds_to_agreement,reached_deadline,rounds_used_turns,deadline_rounds,cost_usd,belief_final_posterior_mass_true_type,belief_final_expected_utility_rmse,belief_final_accept_set_f1,belief_auc_posterior_mass_true_type,belief_auc_expected_utility_rmse,belief_auc_accept_set_f1,belief_n_believers,belief_n_turns,belief_accuracy_mean,belief_accuracy_final
scorable_negotiation-moves_chat-2037e8cc4e,scorable_negotiation-L0-033f0874d5,0,1.0,0.6825,0.709,0.3181677786861084,173.0,4.0,6577200.0,23.099799461378094,0.4184971098265896,0.0,0.981224549237157,0.981224549237157,1.0,1.0,0.0,0.0,0.0,nan,1.0,1.0,0.0,5.0,4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0
scorable_negotiation-moves_chat-a0b61b93dc,scorable_negotiation-L0-033f0874d5,1,1.0,0.8215,0.8402,0.5115813074998747,205.0,20.0,70686000.0,37.14211935676653,0.24195121951219511,0.0,0.6147073541350071,0.6147073541350071,1.0,1.0,0.0,0.0,0.0,nan,1.0,1.0,0.0,5.0,4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0
scorable_negotiation-moves_chat-54455badee,scorable_negotiation-L0-033f0874d5,2,1.0,0.9007,0.8934,0.0,218.0,0.0,0.0,0.0,0.4972477064220184,0.0,0.8020231822232814,0.8020231822232814,1.0,1.0,0.0,0.0,0.0,nan,1.0,1.0,0.0,5.0,4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0
scorable_negotiation-moves_chat-bab3cd7b03,scorable_negotiation-L0-033f0874d5,3,1.0,1.0,1.0,0.0,244.0,0.0,0.0,0.0,0.44098360655737706,0.0,0.6296814018512008,0.6296814018512008,1.0,1.0,0.0,0.0,0.0,nan,1.0,1.0,0.0,5.0,4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0
scorable_negotiation-moves_chat-2f16915913,scorable_negotiation-L0-033f0874d5,4,1.0,0.6825,0.709,0.3181677786861084,173.0,4.0,6577200.0,23.099799461378094,0.4184971098265896,0.0,0.981224549237157,0.981224549237157,1.0,1.0,0.0,0.0,0.0,1.4999999999999856,5.0,5.0,1.0,25.0,4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,4.0,1.0,1.0
scorable_negotiation-moves_chat-191158674e,scorable_negotiation-L0-44925c2d5b,0,1.0,0.896,0.8082,0.3179505031464526,198.0,4.0,7711200.0,23.846486146357186,0.4444444444444444,0.0,1.103963534026487,0.5938924578213919,1.0,1.0,0.0,0.0,0.0,nan,1.0,1.0,0.0,5.0,4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0
scorable_negotiation-moves_chat-2969a2a0db,scorable_negotiation-L0-44925c2d5b,1,1.0,1.0,0.8816,0.4920199873201643,216.0,17.0,68428672.0,36.9018060838129,0.30185185185185187,0.0,0.25785628706431324,0.6886678606747878,1.0,1.0,0.0,0.0,0.0,nan,1.0,1.0,0.0,5.0,4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0
scorable_negotiation-moves_chat-92dc070f81,scorable_negotiation-L0-44925c2d5b,2,1.0,0.9578,1.0,0.43900836072089183,245.0,17.0,38697984.0,32.92590100806868,0.4636734693877551,0.0,0.6708690416797691,0.7606536862170358,1.0,1.0,0.0,0.0,0.0,nan,1.0,1.0,0.0,5.0,4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0
scorable_negotiation-moves_chat-c750e30ef2,scorable_negotiation-L0-44925c2d5b,3,1.0,0.896,0.8082,0.3179505031464526,198.0,4.0,7711200.0,23.846486146357186,0.4444444444444444,0.0,1.103963534026487,0.5938924578213919,1.0,1.0,0.0,0.0,0.0,nan,1.0,1.0,0.0,5.0,4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0
scorable_negotiation-moves_chat-0f6f995f92,scorable_negotiation-L0-44925c2d5b,4,1.0,0.9578,1.0,0.43900836072089183,245.0,17.0,38697984.0,32.92590100806868,0.4636734693877551,0.0,0.6708690416797691,0.7606536862170358,1.0,1.0,0.0,0.0,0.0,nan,1.0,1.0,0.0,5.0,4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0
