logical_table,instance_id,episode_seed,bank_position,seat_index,difficulty_tags,deal_rate,normalized_primary,worst_off,max_share,seat_z,seat_z_uncond,seat_share,seat_advantage,seat_capture_z,coplayer_z,coplayer_z_uncond,z_parties
all_llm,scorable_negotiation-L1-a9097927ce,0,1,1,easy,1.0,0.7545,0.30985915492957744,0.3173142238224179,0.8695652174,0.8695652174,0.3173142238209906,0.40185863445000003,1.771982828274501,0.46770658295,0.46770658295,0.3098591549;0.8695652174;0.4827586207;0.5441176471;0.5340909091
all_llm,scorable_negotiation-L3-a8641f6c33,1,3,0,medium;small-frontier,1.0,0.9628,0.43333333333333335,0.27187957424508014,0.4333333333,0.4333333333,0.1178144821645953,-0.377858092425,-1.3336893063628081,0.811191425725,0.811191425725,0.4333333333;0.6176470588;0.6271186441;1;1
all_llm,scorable_negotiation-L1-282034699c,2,16,0,easy;large-frontier,1.0,0.9791,0.26666666666666666,0.28108555211705477,0.9074074074,0.9074074074,0.255059112104829,0.244850329775,0.6131659339567465,0.662557077625,0.662557077625,0.9074074074;1;0.2666666667;0.3835616438;1
all_llm,scorable_negotiation-L1-a9097927ce,1,1,3,easy,1.0,0.7545,0.30985915492957744,0.3173142238224179,0.5441176471,0.5441176471,0.19855470918338067,-0.004950828425000053,-0.021830519995769713,0.549068475525,0.549068475525,0.3098591549;0.8695652174;0.4827586207;0.5441176471;0.5340909091
all_llm,scorable_negotiation-L4-faf2ca7d47,3,14,0,hard;no-clear-win-win;pivotal-seat;small-frontier,1.0,0.8196,0.0,0.30612244897959184,1.0,1.0,0.3061224489764681,0.433333333325,0.800853434719423,0.566666666675,0.566666666675,1;1;0.2666666667;0;1
all_llm,scorable_negotiation-L2-df1e479b72,0,2,2,medium;small-frontier,1.0,1.0,0.2619047619047619,0.2991893883566691,0.6666666667,0.6666666667,0.19945959224892829,-0.0022577996250000565,-0.006020911737530684,0.668924466325,0.668924466325,1;1;0.6666666667;0.2619047619;0.4137931034
all_llm,scorable_negotiation-L1-19dae4b672,4,11,4,high-conflict;medium,1.0,0.9605,0.14516129032258066,0.3259844608892783,0.1451612903,0.1451612903,0.04732032496075755,-0.5854561081749999,-1.6932823183614432,0.730617398475,0.730617398475,0.7244897959;1;0.6222222222;0.5757575758;0.1451612903
all_llm,scorable_negotiation-L0-611ee402f7,4,5,3,easy,1.0,0.9013,0.16666666666666666,0.3272615194404003,0.396039604,0.396039604,0.1296085225621875,-0.26886554505,-0.7224999988795966,0.66490514905,0.66490514905,0.8222222222;1;0.1666666667;0.396039604;0.6707317073
all_llm,scorable_negotiation-L2-1fc37540c8,2,12,1,high-conflict;large-frontier;medium;no-clear-win-win,1.0,0.8878,0.2631578947368421,0.34311179289018773,1.0,1.0,0.34311179289705673,0.521374504825,1.2166517917014807,0.47862549517499997,0.47862549517499997,0.275;1;1;0.2631578947;0.376344086
all_llm,scorable_negotiation-L2-103cef6017,3,7,3,medium;small-frontier,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
all_llm,scorable_negotiation-L2-adac68f4ac,2,17,1,large-frontier;medium,1.0,0.9094,0.24444444444444444,0.32368800712144313,1.0,1.0,0.32368800712308915,0.47765133555000006,1.4233648400201477,0.5223486644499999,0.5223486644499999,0.7368421053;1;0.7162162162;0.3918918919;0.2444444444
all_llm,scorable_negotiation-L4-712ba36a4f,3,9,0,hard;no-clear-win-win;pivotal-seat,1.0,1.0,0.0,0.3132530120481927,0.0,0.0,0.0,-0.798076923075,-1.4284889109462915,0.798076923075,0.798076923075,0;1;0.1923076923;1;1
