arm,episode_id,episode_seed,ever_accepts_seed,first_move_accepts_seed,instance_id,logical_table,protocol_variant,seat,seat_index,seeded_offer,z
all_rational__ceiling_vote,scorable_negotiation-moves_chat-072731e65d,3,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Avery,0,ceiling,0.27381
all_rational__ceiling_vote,scorable_negotiation-moves_chat-072731e65d,3,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Blake,1,ceiling,0.630769
all_rational__ceiling_vote,scorable_negotiation-moves_chat-072731e65d,3,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Casey,2,ceiling,0.569106
all_rational__ceiling_vote,scorable_negotiation-moves_chat-072731e65d,3,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Devon,3,ceiling,0.804348
all_rational__ceiling_vote,scorable_negotiation-moves_chat-072731e65d,3,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Ember,4,ceiling,0.424779
all_rational__ceiling_vote,scorable_negotiation-moves_chat-0d8bb82e90,1,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Avery,0,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-0d8bb82e90,1,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Blake,1,ceiling,0.168067
all_rational__ceiling_vote,scorable_negotiation-moves_chat-0d8bb82e90,1,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Casey,2,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-0d8bb82e90,1,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Devon,3,ceiling,0.614458
all_rational__ceiling_vote,scorable_negotiation-moves_chat-0d8bb82e90,1,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Ember,4,ceiling,0.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-1b1ed27b00,4,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Avery,0,ceiling,0.406593
all_rational__ceiling_vote,scorable_negotiation-moves_chat-1b1ed27b00,4,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Blake,1,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-1b1ed27b00,4,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Casey,2,ceiling,0.404762
all_rational__ceiling_vote,scorable_negotiation-moves_chat-1b1ed27b00,4,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Devon,3,ceiling,0.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-1b1ed27b00,4,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Ember,4,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-3c4016484e,3,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Avery,0,ceiling,0.406593
all_rational__ceiling_vote,scorable_negotiation-moves_chat-3c4016484e,3,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Blake,1,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-3c4016484e,3,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Casey,2,ceiling,0.404762
all_rational__ceiling_vote,scorable_negotiation-moves_chat-3c4016484e,3,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Devon,3,ceiling,0.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-3c4016484e,3,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Ember,4,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-404f5b70d9,3,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Avery,0,ceiling,0.340426
all_rational__ceiling_vote,scorable_negotiation-moves_chat-404f5b70d9,3,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Blake,1,ceiling,0.727273
all_rational__ceiling_vote,scorable_negotiation-moves_chat-404f5b70d9,3,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Casey,2,ceiling,0.808081
all_rational__ceiling_vote,scorable_negotiation-moves_chat-404f5b70d9,3,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Devon,3,ceiling,0.852273
all_rational__ceiling_vote,scorable_negotiation-moves_chat-404f5b70d9,3,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Ember,4,ceiling,0.233333
all_rational__ceiling_vote,scorable_negotiation-moves_chat-50bd30abe9,1,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Avery,0,ceiling,0.406593
all_rational__ceiling_vote,scorable_negotiation-moves_chat-50bd30abe9,1,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Blake,1,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-50bd30abe9,1,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Casey,2,ceiling,0.404762
all_rational__ceiling_vote,scorable_negotiation-moves_chat-50bd30abe9,1,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Devon,3,ceiling,0.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-50bd30abe9,1,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Ember,4,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-5263529758,0,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Avery,0,ceiling,0.406593
all_rational__ceiling_vote,scorable_negotiation-moves_chat-5263529758,0,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Blake,1,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-5263529758,0,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Casey,2,ceiling,0.404762
all_rational__ceiling_vote,scorable_negotiation-moves_chat-5263529758,0,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Devon,3,ceiling,0.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-5263529758,0,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Ember,4,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-5336cb7447,3,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Avery,0,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-5336cb7447,3,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Blake,1,ceiling,0.168067
all_rational__ceiling_vote,scorable_negotiation-moves_chat-5336cb7447,3,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Casey,2,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-5336cb7447,3,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Devon,3,ceiling,0.614458
all_rational__ceiling_vote,scorable_negotiation-moves_chat-5336cb7447,3,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Ember,4,ceiling,0.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-55f60307d4,1,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Avery,0,ceiling,0.762963
all_rational__ceiling_vote,scorable_negotiation-moves_chat-55f60307d4,1,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Blake,1,ceiling,0.566667
all_rational__ceiling_vote,scorable_negotiation-moves_chat-55f60307d4,1,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Casey,2,ceiling,0.267606
all_rational__ceiling_vote,scorable_negotiation-moves_chat-55f60307d4,1,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Devon,3,ceiling,0.465347
all_rational__ceiling_vote,scorable_negotiation-moves_chat-55f60307d4,1,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Ember,4,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-605f76f1dd,4,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Avery,0,ceiling,0.27381
all_rational__ceiling_vote,scorable_negotiation-moves_chat-605f76f1dd,4,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Blake,1,ceiling,0.630769
all_rational__ceiling_vote,scorable_negotiation-moves_chat-605f76f1dd,4,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Casey,2,ceiling,0.569106
all_rational__ceiling_vote,scorable_negotiation-moves_chat-605f76f1dd,4,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Devon,3,ceiling,0.804348
all_rational__ceiling_vote,scorable_negotiation-moves_chat-605f76f1dd,4,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Ember,4,ceiling,0.424779
all_rational__ceiling_vote,scorable_negotiation-moves_chat-64c9ec68e4,4,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Avery,0,ceiling,0.340426
all_rational__ceiling_vote,scorable_negotiation-moves_chat-64c9ec68e4,4,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Blake,1,ceiling,0.727273
all_rational__ceiling_vote,scorable_negotiation-moves_chat-64c9ec68e4,4,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Casey,2,ceiling,0.808081
all_rational__ceiling_vote,scorable_negotiation-moves_chat-64c9ec68e4,4,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Devon,3,ceiling,0.852273
all_rational__ceiling_vote,scorable_negotiation-moves_chat-64c9ec68e4,4,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Ember,4,ceiling,0.233333
all_rational__ceiling_vote,scorable_negotiation-moves_chat-688fabbf64,3,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Avery,0,ceiling,0.762963
all_rational__ceiling_vote,scorable_negotiation-moves_chat-688fabbf64,3,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Blake,1,ceiling,0.566667
all_rational__ceiling_vote,scorable_negotiation-moves_chat-688fabbf64,3,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Casey,2,ceiling,0.267606
all_rational__ceiling_vote,scorable_negotiation-moves_chat-688fabbf64,3,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Devon,3,ceiling,0.465347
all_rational__ceiling_vote,scorable_negotiation-moves_chat-688fabbf64,3,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Ember,4,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-74e30f34d4,1,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Avery,0,ceiling,0.340426
all_rational__ceiling_vote,scorable_negotiation-moves_chat-74e30f34d4,1,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Blake,1,ceiling,0.727273
all_rational__ceiling_vote,scorable_negotiation-moves_chat-74e30f34d4,1,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Casey,2,ceiling,0.808081
all_rational__ceiling_vote,scorable_negotiation-moves_chat-74e30f34d4,1,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Devon,3,ceiling,0.852273
all_rational__ceiling_vote,scorable_negotiation-moves_chat-74e30f34d4,1,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Ember,4,ceiling,0.233333
all_rational__ceiling_vote,scorable_negotiation-moves_chat-9a70f1ca8a,2,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Avery,0,ceiling,0.406593
all_rational__ceiling_vote,scorable_negotiation-moves_chat-9a70f1ca8a,2,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Blake,1,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-9a70f1ca8a,2,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Casey,2,ceiling,0.404762
all_rational__ceiling_vote,scorable_negotiation-moves_chat-9a70f1ca8a,2,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Devon,3,ceiling,0.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-9a70f1ca8a,2,1.0,1.0,scorable_negotiation-L0-32200851b2,all_rational,vote,Ember,4,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-a413a71b76,2,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Avery,0,ceiling,0.340426
all_rational__ceiling_vote,scorable_negotiation-moves_chat-a413a71b76,2,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Blake,1,ceiling,0.727273
all_rational__ceiling_vote,scorable_negotiation-moves_chat-a413a71b76,2,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Casey,2,ceiling,0.808081
all_rational__ceiling_vote,scorable_negotiation-moves_chat-a413a71b76,2,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Devon,3,ceiling,0.852273
all_rational__ceiling_vote,scorable_negotiation-moves_chat-a413a71b76,2,1.0,1.0,scorable_negotiation-L0-a483b0d80d,all_rational,vote,Ember,4,ceiling,0.233333
all_rational__ceiling_vote,scorable_negotiation-moves_chat-c125273a3d,4,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Avery,0,ceiling,0.762963
all_rational__ceiling_vote,scorable_negotiation-moves_chat-c125273a3d,4,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Blake,1,ceiling,0.566667
all_rational__ceiling_vote,scorable_negotiation-moves_chat-c125273a3d,4,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Casey,2,ceiling,0.267606
all_rational__ceiling_vote,scorable_negotiation-moves_chat-c125273a3d,4,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Devon,3,ceiling,0.465347
all_rational__ceiling_vote,scorable_negotiation-moves_chat-c125273a3d,4,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Ember,4,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-c8c361d339,2,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Avery,0,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-c8c361d339,2,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Blake,1,ceiling,0.168067
all_rational__ceiling_vote,scorable_negotiation-moves_chat-c8c361d339,2,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Casey,2,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-c8c361d339,2,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Devon,3,ceiling,0.614458
all_rational__ceiling_vote,scorable_negotiation-moves_chat-c8c361d339,2,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Ember,4,ceiling,0.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-ca5252d2e2,2,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Avery,0,ceiling,0.762963
all_rational__ceiling_vote,scorable_negotiation-moves_chat-ca5252d2e2,2,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Blake,1,ceiling,0.566667
all_rational__ceiling_vote,scorable_negotiation-moves_chat-ca5252d2e2,2,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Casey,2,ceiling,0.267606
all_rational__ceiling_vote,scorable_negotiation-moves_chat-ca5252d2e2,2,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Devon,3,ceiling,0.465347
all_rational__ceiling_vote,scorable_negotiation-moves_chat-ca5252d2e2,2,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Ember,4,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-cf96e59a83,0,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Avery,0,ceiling,0.27381
all_rational__ceiling_vote,scorable_negotiation-moves_chat-cf96e59a83,0,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Blake,1,ceiling,0.630769
all_rational__ceiling_vote,scorable_negotiation-moves_chat-cf96e59a83,0,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Casey,2,ceiling,0.569106
all_rational__ceiling_vote,scorable_negotiation-moves_chat-cf96e59a83,0,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Devon,3,ceiling,0.804348
all_rational__ceiling_vote,scorable_negotiation-moves_chat-cf96e59a83,0,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Ember,4,ceiling,0.424779
all_rational__ceiling_vote,scorable_negotiation-moves_chat-d8a5320a7c,0,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Avery,0,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-d8a5320a7c,0,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Blake,1,ceiling,0.168067
all_rational__ceiling_vote,scorable_negotiation-moves_chat-d8a5320a7c,0,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Casey,2,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-d8a5320a7c,0,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Devon,3,ceiling,0.614458
all_rational__ceiling_vote,scorable_negotiation-moves_chat-d8a5320a7c,0,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Ember,4,ceiling,0.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-dcd1e9c592,1,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Avery,0,ceiling,0.27381
all_rational__ceiling_vote,scorable_negotiation-moves_chat-dcd1e9c592,1,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Blake,1,ceiling,0.630769
all_rational__ceiling_vote,scorable_negotiation-moves_chat-dcd1e9c592,1,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Casey,2,ceiling,0.569106
all_rational__ceiling_vote,scorable_negotiation-moves_chat-dcd1e9c592,1,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Devon,3,ceiling,0.804348
all_rational__ceiling_vote,scorable_negotiation-moves_chat-dcd1e9c592,1,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Ember,4,ceiling,0.424779
all_rational__ceiling_vote,scorable_negotiation-moves_chat-e2a60435ea,2,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Avery,0,ceiling,0.27381
all_rational__ceiling_vote,scorable_negotiation-moves_chat-e2a60435ea,2,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Blake,1,ceiling,0.630769
all_rational__ceiling_vote,scorable_negotiation-moves_chat-e2a60435ea,2,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Casey,2,ceiling,0.569106
all_rational__ceiling_vote,scorable_negotiation-moves_chat-e2a60435ea,2,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Devon,3,ceiling,0.804348
all_rational__ceiling_vote,scorable_negotiation-moves_chat-e2a60435ea,2,1.0,1.0,scorable_negotiation-L0-65113008ad,all_rational,vote,Ember,4,ceiling,0.424779
all_rational__ceiling_vote,scorable_negotiation-moves_chat-f01b2d222c,4,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Avery,0,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-f01b2d222c,4,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Blake,1,ceiling,0.168067
all_rational__ceiling_vote,scorable_negotiation-moves_chat-f01b2d222c,4,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Casey,2,ceiling,1.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-f01b2d222c,4,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Devon,3,ceiling,0.614458
all_rational__ceiling_vote,scorable_negotiation-moves_chat-f01b2d222c,4,1.0,1.0,scorable_negotiation-L0-34733a57e6,all_rational,vote,Ember,4,ceiling,0.0
all_rational__ceiling_vote,scorable_negotiation-moves_chat-f86e61e2ec,0,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Avery,0,ceiling,0.762963
all_rational__ceiling_vote,scorable_negotiation-moves_chat-f86e61e2ec,0,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Blake,1,ceiling,0.566667
all_rational__ceiling_vote,scorable_negotiation-moves_chat-f86e61e2ec,0,1.0,1.0,scorable_negotiation-L0-611ee402f7,all_rational,vote,Casey,2,ceiling,0.267606
